date,val
20-01-2020,112
21-01-2020,112
22-01-2020,37.333
23-01-2020,42
24-01-2020,70
25-01-2020,46.667
26-01-2020,65.333
27-01-2020,35
28-01-2020,58.333
28-01-2020,99.167
28-01-2020,22.75
29-01-2020,65.333
29-01-2020,94
29-01-2020,37.8
29-01-2020,1.75
30-01-2020,1449
30-01-2020,74.667
30-01-2020,98
30-01-2020,48.3
30-01-2020,1.75
31-01-2020,1393
31-01-2020,56
31-01-2020,91
31-01-2020,60.9
31-01-2020,1.4
01-02-2020,1351
01-02-2020,33.6
01-02-2020,103
01-02-2020,57.5
01-02-2020,1.4
02-02-2020,1295
02-02-2020,31.5
02-02-2020,95
02-02-2020,64
02-02-2020,1.167
03-02-2020,1155
03-02-2020,42
03-02-2020,135.8
03-02-2020,87.818
03-02-2020,1.167
04-02-2020,1169
04-02-2020,35
04-02-2020,228.667
04-02-2020,225.4
04-02-2020,2.333
05-02-2020,1190
05-02-2020,35.5
05-02-2020,245
05-02-2020,127.909
05-02-2020,127.75
05-02-2020,2.333
06-02-2020,33.895
06-02-2020,238
06-02-2020,134.273
06-02-2020,532
06-02-2020,1
07-02-2020,48.588
07-02-2020,117
07-02-2020,134.909
07-02-2020,553
07-02-2020,1.167
08-02-2020,110.833
08-02-2020,137
08-02-2020,105
08-02-2020,191.333
08-02-2020,1.4
09-02-2020,191.1
09-02-2020,127.75
09-02-2020,98
09-02-2020,927.5
09-02-2020,1.75
10-02-2020,188.417
10-02-2020,136.5
10-02-2020,92.077
10-02-2020,1102.5
10-02-2020,7
11-02-2020,1414
11-02-2020,252
11-02-2020,145.25
11-02-2020,78.615
11-02-2020,732.667
11-02-2020,3.5
12-02-2020,1449
12-02-2020,436.1
12-02-2020,161
12-02-2020,94.5
12-02-2020,732.667
12-02-2020,3.5
13-02-2020,1414
13-02-2020,982.8
13-02-2020,167
13-02-2020,77
13-02-2020,730.333
13-02-2020,3.5
14-02-2020,1400
14-02-2020,1431.5
14-02-2020,521.5
14-02-2020,64.75
14-02-2020,728
14-02-2020,2.333
15-02-2020,1407
15-02-2020,1454.25
15-02-2020,903
15-02-2020,248.5
15-02-2020,3157
15-02-2020,2.333
16-02-2020,1386
16-02-2020,1394.75
16-02-2020,234.5
16-02-2020,2849
16-02-2020,2.333
17-02-2020,9.265
17-02-2020,1302
17-02-2020,1799
17-02-2020,749
17-02-2020,269.5
17-02-2020,1620.5
17-02-2020,2.333
18-02-2020,10.088
18-02-2020,1878.333
18-02-2020,540.75
18-02-2020,200.667
18-02-2020,3990
18-02-2020,7
19-02-2020,8.366
19-02-2020,296.333
19-02-2020,682.5
19-02-2020,336
19-02-2020,4648
19-02-2020,7
20-02-2020,8.527
20-02-2020,122.365
20-02-2020,568.167
20-02-2020,399
20-02-2020,5299
20-02-2020,14
21-02-2020,8.667
21-02-2020,105
21-02-2020,62.669
21-02-2020,675.5
21-02-2020,465.5
21-02-2020,5957
21-02-2020,14
22-02-2020,8.045
22-02-2020,343
22-02-2020,38.18
22-02-2020,551.25
22-02-2020,1036
22-02-2020,3000.667
23-02-2020,6.825
23-02-2020,1127
23-02-2020,25.724
23-02-2020,577.5
23-02-2020,1253
23-02-2020,1642.2
24-02-2020,5.765
24-02-2020,1092
24-02-2020,27.933
24-02-2020,563.5
24-02-2020,1484
24-02-2020,1912.75
25-02-2020,6.588
25-02-2020,368.667
25-02-2020,31.886
25-02-2020,535.5
25-02-2020,924
25-02-2020,1772.75
26-02-2020,6.071
26-02-2020,378
26-02-2020,32.467
26-02-2020,456.556
26-02-2020,476
26-02-2020,1655.5
26-02-2020,84.921
27-02-2020,6.108
27-02-2020,382.667
27-02-2020,30.25
27-02-2020,479.5
27-02-2020,718.2
27-02-2020,1538.25
27-02-2020,146.682
28-02-2020,5.863
28-02-2020,581
28-02-2020,154.875
28-02-2020,30.062
28-02-2020,349.3
28-02-2020,914.2
28-02-2020,1402.8
28-02-2020,146.682
29-02-2020,131.833
29-02-2020,61.264
29-02-2020,6.048
29-02-2020,205.333
29-02-2020,115.182
29-02-2020,25.55
29-02-2020,273.538
29-02-2020,732
29-02-2020,1045.8
29-02-2020,210.226
01-03-2020,154
01-03-2020,75.495
01-03-2020,7.589
01-03-2020,214.667
01-03-2020,118.364
01-03-2020,25.42
01-03-2020,74.9
01-03-2020,261.5
01-03-2020,784
01-03-2020,1340.5
